1.8569,0.0038,0.0288, 36573,23030,0,8836950,0,1419,16192,0,8407965,8836950,8138488,0,1384139,0,8188506,0.009, 36735
1.8597,0.0040,0.0290, 36627,21572,0,8836950,0,1423,3482,0,8407965,8836950,8138488,0,1384139,1,8188828,0.012, 36735
1.8769,0.0033,0.0283, 36627,23030,0,8836950,0,1439,16192,0,8407965,8836950,8138488,0,1384139,0,8188828,0.010, 36735
1.8796,0.0034,0.0285, 36681,21698,0,8836950,0,1443,3356,0,8407965,8836950,8138488,0,1384139,1,8200902,0.012, 36735
1.8969,0.0033,0.0283, 36681,23153,0,8836950,0,1459,16192,0,8407965,8836950,8138488,0,1384139,0,8200902,0.010, 36735
1.8997,0.0036,0.0286, 36732,21695,0,8836950,0,1463,3482,0,8407965,8836950,8138488,0,1384139,1,8239894,0.012, 36735
1.9169,0.0033,0.0283, 36732,27079,0,8836950,0,1479,16192,0,8407965,8836950,8138488,0,1384139,0,8239894,0.010, 36735
1.9197,0.0036,0.0286, 36783,25624,0,8836950,0,1483,3479,0,8407965,8836950,8138488,0,1384139,1,8251334,0.012, 36735
1.9369,0.0045,0.0295, 36783,35274,0,8535333,0,1499,16192,0,8625735,8535333,8374643,0,0,0,8251334,0.008, 36735
1.9428,0.0061,0.0311, 36841,36974,0,8535333,0,1507,7408,0,8625735,8535333,8374643,0,0,1,8308209,0.013, 36735
1.9569,0.0057,0.0307, 36841,36364,0,8535333,0,1523,16192,0,8625735,8535333,8374643,0,0,0,8308209,0.007, 36735
1.9662,0.0094,0.0344, 36538,39870,0,8535333,0,1535,11674,2024,8625735,8535333,8374643,0,0,1,8239878,0.013, 36841
1.9792,0.0079,0.0329, 36576,25688,0,8535333,0,1551,16192,0,8625735,8535333,8374643,0,0,0,8248447,0.007, 36841
1.9860,0.0100,0.0350, 36576,28322,0,8535333,0,1560,8498,2024,8625735,8535333,8374643,0,0,1,8248447,0.012, 36841
1.9989,0.0072,0.0322, 36629,17520,0,8535333,0,1576,16178,0,8625735,8535333,8374643,0,0,1,8260399,0.008, 36841
2.0168,0.0036,0.0286, 36629,20011,0,8535333,0,1592,16192,0,8625735,8535333,8374643,0,0,0,8260399,0.009, 36841
2.0171,0.0032,0.0282, 36629,19695,0,8535333,0,1593,316,0,8625735,8535333,8374643,0,0,1,8260399,0.010, 36841
2.0368,0.0036,0.0286, 36702,26462,0,8448306,0,1609,16192,0,8475653,8448306,8672425,0,322541,0,8264898,0.009, 36841
2.0396,0.0039,0.0289, 36710,24983,0,8448306,0,1613,3503,0,8475653,8448306,8672425,0,322541,1,8266700,0.012, 36841
2.0568,0.0036,0.0286, 36710,28211,0,8448306,0,1629,16192,0,8475653,8448306,8672425,0,322541,0,8266700,0.009, 36841
2.0622,0.0046,0.0296, 36759,27516,0,8448306,0,1636,6767,0,8475653,8448306,8672425,0,322541,1,8301733,0.014, 36841
2.0768,0.0039,0.0289, 36759,22966,0,8448306,0,1652,16192,0,8475653,8448306,8672425,0,322541,0,8301733,0.009, 36841
2.0810,0.0044,0.0294, 36805,21762,0,8448306,0,1658,5252,0,8475653,8448306,8672425,0,322541,1,8312122,0.013, 36841
2.0968,0.0036,0.0287, 36805,24143,0,8448306,0,1674,16192,0,8475653,8448306,8672425,0,322541,0,8312122,0.009, 36841
