0.6228, 162, 0.5962, 198.2369, 197.6407
0.6228, 163, 0.5976, 198.2379, 197.6403
0.6281, 164, 0.6028, 198.2432, 197.6404
0.6334, 165, 0.6041, 198.2445, 197.6405
0.6334, 166, 0.6053, 198.2465, 197.6412
0.6334, 167, 0.6066, 198.2475, 197.6408
0.6334, 168, 0.6080, 198.2484, 197.6405
0.6388, 169, 0.6093, 198.2500, 197.6407
0.6388, 170, 0.6107, 198.2510, 197.6403
0.6388, 171, 0.6120, 198.2529, 197.6409
0.6388, 172, 0.6133, 198.2539, 197.6406
0.6413, 173, 0.6146, 198.2553, 197.6407
0.6413, 174, 0.6160, 198.2563, 197.6403
0.6487, 175, 0.6230, 198.2637, 197.6408
0.6537, 176, 0.6243, 198.2649, 197.6406
0.6537, 177, 0.6256, 198.2669, 197.6413
0.6537, 178, 0.6269, 198.2678, 197.6409
0.6537, 179, 0.6283, 198.2688, 197.6406
0.6591, 180, 0.6296, 198.2703, 197.6407
0.6591, 181, 0.6308, 198.2712, 197.6404
0.6591, 182, 0.6321, 198.2732, 197.6411
0.6591, 183, 0.6334, 198.2742, 197.6408
0.6624, 184, 0.6347, 198.2755, 197.6409
0.6624, 185, 0.6360, 198.2765, 197.6406
0.6624, 186, 0.6372, 198.2775, 197.6403
0.6684, 187, 0.6429, 198.2834, 197.6406
0.6736, 188, 0.6441, 198.2848, 197.6407
0.6736, 189, 0.6454, 198.2858, 197.6404
0.6736, 190, 0.6468, 198.2877, 197.6409
0.6736, 191, 0.6481, 198.2887, 197.6406
0.6789, 192, 0.6495, 198.2901, 197.6406
0.6789, 193, 0.6507, 198.2911, 197.6404
0.6789, 194, 0.6519, 198.2930, 197.6411
0.6789, 195, 0.6532, 198.2940, 197.6408
0.6822, 196, 0.6544, 198.2953, 197.6409
0.6822, 197, 0.6557, 198.2963, 197.6406
0.6822, 198, 0.6569, 198.2972, 197.6404
0.6880, 199, 0.6626, 198.3030, 197.6404
0.6932, 200, 0.6637, 198.3043, 197.6405
0.6932, 201, 0.6648, 198.3052, 197.6404
0.6932, 202, 0.6660, 198.3072, 197.6412
0.6932, 203, 0.6672, 198.3082, 197.6409
0.6984, 204, 0.6685, 198.3096, 197.6411
0.6984, 205, 0.6696, 198.3105, 197.6409
0.6984, 206, 0.6708, 198.3115, 197.6407
0.6984, 207, 0.6720, 198.3125, 197.6405
0.7020, 208, 0.6732, 198.3142, 197.6410
0.7020, 209, 0.6744, 198.3151, 197.6408
0.7020, 210, 0.6756, 198.3161, 197.6405
0.7020, 211, 0.6767, 198.3171, 197.6404
0.7083, 212, 0.6826, 198.3233, 197.6407
0.7136, 213, 0.6837, 198.3244, 197.6408
0.7136, 214, 0.6847, 198.3254, 197.6407
0.7136, 215, 0.6859, 198.3264, 197.6405
0.7136, 216, 0.6870, 198.3274, 197.6404
0.7183, 217, 0.6881, 198.3285, 197.6404
0.7183, 218, 0.6892, 198.3305, 197.6412
0.7183, 219, 0.6904, 198.3315, 197.6410
0.7183, 220, 0.6916, 198.3324, 197.6408
0.7183, 221, 0.6927, 198.3334, 197.6407
0.7215, 222, 0.6939, 198.3347, 197.6407
0.7215, 223, 0.6951, 198.3356, 197.6405
0.7215, 224, 0.6963, 198.3366, 197.6403
0.7280, 225, 0.7026, 198.3430, 197.6404
0.7335, 226, 0.7036, 198.3444, 197.6408
0.7335, 227, 0.7047, 198.3454, 197.6407
0.7335, 228, 0.7057, 198.3464, 197.6407
0.7335, 229, 0.7068, 198.3473, 197.6405
0.7386, 230, 0.7081, 198.3488, 197.6406
0.7386, 231, 0.7095, 198.3507, 197.6413
0.7386, 232, 0.7110, 198.3517, 197.6407
0.7386, 233, 0.7124, 198.3537, 197.6413
0.7431, 234, 0.7137, 198.3542, 197.6405
0.7431, 235, 0.7151, 198.3562, 197.6411
0.7431, 236, 0.7165, 198.3572, 197.6407
0.7431, 237, 0.7178, 198.3582, 197.6403
0.7488, 238, 0.7226, 198.3637, 197.6412
0.7539, 239, 0.7236, 198.3641, 197.6406
0.7539, 240, 0.7245, 198.3651, 197.6405
0.7539, 241, 0.7255, 198.3661, 197.6406
0.7539, 242, 0.7265, 198.3671, 197.6405
0.7539, 243, 0.7275, 198.3680, 197.6405
0.7539, 244, 0.7286, 198.3690, 197.6404
0.7591, 245, 0.7298, 198.3703, 197.6405
0.7591, 246, 0.7311, 198.3723, 197.6412
0.7591, 247, 0.7324, 198.3733, 197.6408
0.7591, 248, 0.7337, 198.3742, 197.6406
0.7626, 249, 0.7350, 198.3758, 197.6408
